cross_val,kfold,accuracy,class_1_recall,class_2_recall,class_3_recall,mean_recall,class_1_precision,class_2_precision,class_3_precision,mean_precision,class_1_F1,class_2_F1,class_3_F1,mean_F1
1,1,0.3684210526315789,0.3684210526315789,0,0,0.12280701754385964,1.0,0.0,0.0,0.3333333333333333,0.5384615384615384,0,0,0.1794871794871795
1,2,0.4444444444444444,0.4444444444444444,0,0,0.14814814814814814,1.0,0.0,0.0,0.3333333333333333,0.6153846153846153,0,0,0.2051282051282051
1,3,0.2777777777777778,0.2777777777777778,0,0,0.0925925925925926,1.0,0.0,0.0,0.3333333333333333,0.4347826086956522,0,0,0.14492753623188406
1,4,0.3333333333333333,0.3333333333333333,0,0,0.1111111111111111,1.0,0.0,0.0,0.3333333333333333,0.5,0,0,0.16666666666666666
1,5,0.2222222222222222,0.2222222222222222,0,0,0.07407407407407407,1.0,0.0,0.0,0.3333333333333333,0.3636363636363636,0,0,0.1212121212121212
1,6,0.3888888888888889,0.3888888888888889,0,0,0.12962962962962962,1.0,0.0,0.0,0.3333333333333333,0.56,0,0,0.18666666666666668
1,7,0.2777777777777778,0.2777777777777778,0,0,0.0925925925925926,1.0,0.0,0.0,0.3333333333333333,0.4347826086956522,0,0,0.14492753623188406
1,8,0.3333333333333333,0.3333333333333333,0,0,0.1111111111111111,1.0,0.0,0.0,0.3333333333333333,0.5,0,0,0.16666666666666666
1,9,0.35294117647058826,0.35294117647058826,0,0,0.11764705882352942,1.0,0.0,0.0,0.3333333333333333,0.5217391304347826,0,0,0.17391304347826086
1,10,0.3125,0.3125,0,0,0.10416666666666667,1.0,0.0,0.0,0.3333333333333333,0.47619047619047616,0,0,0.15873015873015872
